ds,yhat,yhat_lower,yhat_upper,y,type
2014-01-30,130.01141646584853,7.177724635118385,254.2752094047326,272.0,historical
2014-01-31,141.59283636030756,15.732035056870906,273.36872420888267,209.0,historical
2014-02-01,192.0019420712752,61.22410931391236,317.36731847274694,369.0,historical
2014-02-02,144.69616947904598,13.697985159700888,276.8034207562841,217.0,historical
2014-02-03,113.7411281738828,-21.350125773543304,233.7487519994417,97.0,historical
2014-02-04,107.75929538394084,-26.416863500609573,234.69096358320394,117.0,historical
2014-02-05,127.71019325320293,8.333662045292172,257.64684479138185,100.0,historical
2014-02-06,107.43150043628808,-29.19649855899598,233.24688436370863,64.0,historical
2014-02-07,114.08301691386771,-15.551399641255047,235.29059533702844,35.0,historical
2014-02-08,160.02426485286958,34.35477504646998,289.4971392386823,54.0,historical
2014-02-09,108.79513823782655,-17.534464340062762,237.86814174907533,55.0,historical
2014-02-12,83.95285101899101,-41.418717063373634,208.6014685024788,8.0,historical
2014-02-13,62.50829133863374,-58.606953519145364,176.1684078212953,43.0,historical
2014-02-14,68.75827381317009,-59.30094291151964,196.78391217409785,107.0,historical
2014-02-15,115.0625349452074,-13.79668610189196,240.92804150981357,116.0,historical
2014-02-16,64.94624673922257,-61.865299307232284,198.08122828667987,87.0,historical
2014-02-17,32.51692630141587,-93.85813087739709,164.9537561968422,66.0,historical
2014-02-18,26.4125463888468,-107.65937733014903,160.10926618542493,44.0,historical
2014-02-19,47.581669006515895,-88.45003578392505,167.86750052152286,33.0,historical
2014-02-20,29.825047100943102,-90.49654924686874,164.27372908587236,13.0,historical
2014-02-21,40.24059673558907,-88.51736955294271,173.31968007514044,53.0,historical
2014-02-22,91.10249582449778,-31.452940361570203,220.42820002838576,72.0,historical
2014-02-23,45.84378589414202,-88.60368340986354,169.5197649145457,50.0,historical
2014-02-24,18.475189685668838,-108.10664533953579,143.00318690534527,15.0,historical
2014-02-25,17.535200574399624,-128.70844035197285,146.05740965175826,12.0,historical
2014-02-26,43.87222562234827,-85.1855039951412,175.4596376113075,71.0,historical
2014-02-27,31.188186964056158,-103.11660797554433,155.02717313451257,37.0,historical
2014-02-28,46.485444294859974,-76.0471065626287,180.9843038889357,83.0,historical
2014-03-01,101.94775640420536,-29.1118290035347,236.556336289239,94.0,historical
2014-03-02,60.92462229799307,-67.67823090566185,201.57761870521344,59.0,historical
2014-03-03,37.351681655385164,-93.10715699956378,162.0284737191265,49.0,historical
2014-03-05,68.7704017664162,-54.15413163545439,187.78841765720003,65.0,historical
2014-03-06,58.216013816331845,-77.0269209167272,181.01568226680146,55.0,historical
2014-03-07,75.01190065577583,-49.787524891177114,203.68158491578723,77.0,historical
2014-03-08,131.3254630526297,-0.5428208944073473,267.53212267632233,122.0,historical
2014-03-09,90.50315520306648,-32.49876755933388,224.91682133038717,83.0,historical
2014-03-10,66.49079239028632,-68.30697425206304,186.49343847077418,75.0,historical
2014-03-11,67.78468069447706,-58.570929267777466,202.12998638608812,48.0,historical
2014-03-12,95.21433430103548,-26.46135658651153,215.41078272326905,45.0,historical
2014-03-13,82.48617810357395,-44.17947937153448,222.4308201261556,78.0,historical
2014-03-14,96.63010068946,-25.937023881566596,225.05395560279752,122.0,historical
2014-03-16,105.65479267003464,-25.543082169524624,231.6365181789649,116.0,historical
2014-03-17,77.98126537209056,-54.86734410815435,204.88173103271862,48.0,historical
2014-03-18,75.43938151671368,-51.20362471371894,195.84986034645624,29.0,historical
2014-03-19,98.94529278090505,-34.22551265407699,211.59724311511695,91.0,historical
2014-03-20,82.2928190011028,-50.069336175953154,200.25734639282584,59.0,historical
2014-03-21,92.59818768381174,-34.293418773166756,215.66575879875109,68.0,historical
2014-03-22,142.17838591106462,20.89469729806393,265.39965705147944,137.0,historical
2014-03-23,94.53252099665681,-38.60275031933865,218.33334777098943,56.0,historical
2014-03-24,63.75893244716709,-66.83807666744909,187.52604357428237,13.0,historical
2014-03-25,58.50315014049209,-59.67438397354041,190.91409381058722,45.0,historical
2014-03-26,79.73752782287153,-57.503604977666015,207.87336651186962,25.0,historical
2014-03-27,61.30201125467431,-67.02028367621186,195.97655838290163,25.0,historical
2014-03-28,70.34796460517657,-54.62942641743258,200.34499038769712,174.0,historical
2014-03-29,119.21583882128482,-15.805129973561991,234.44684165744408,138.0,historical
2014-03-30,71.4160918858791,-56.507807257086434,197.2989304631655,64.0,historical
2014-03-31,41.04611226931929,-87.93325733081268,162.86811720932636,77.0,historical
2014-04-01,36.73824424100771,-96.71852335936555,178.14866997212442,62.0,historical
2014-04-02,59.43974279722197,-71.16214558121482,181.1751772467236,119.0,historical
2014-04-03,42.954111104789746,-85.18253186667359,174.18766202582864,89.0,historical
2014-04-04,54.385732638814375,-70.27105932400796,183.8537437571853,133.0,historical
2014-04-05,106.0185655183267,-25.429222827453472,227.1041100081014,180.0,historical
2014-04-06,61.29828823692519,-63.485449908287414,179.1888769939484,121.0,historical
2014-04-07,34.25062332665056,-101.31386674922253,173.4361999695788,72.0,historical
2014-04-08,33.43090870314609,-83.78178306782101,164.1432340074735,91.0,historical
2014-04-09,59.70571366586409,-75.58358534045949,181.34509006786726,53.0,historical
2014-04-10,46.79591749425543,-81.12538754430773,168.73206674745558,47.0,historical
2014-04-11,61.72312727696508,-72.5619277066381,192.60144451659215,42.0,historical
2014-04-12,116.69016531050332,-4.080153111398395,250.0163242490529,124.0,historical
2014-04-13,75.06497780159575,-51.32223704132376,202.5904773083077,97.0,historical
2014-04-14,50.800654247107644,-83.86464267793116,178.64304364292445,119.0,historical
2014-04-15,52.38659172311936,-80.84091904882627,189.45709296529486,34.0,historical
2014-04-16,80.63156618397883,-44.734149209704526,205.81516747397822,18.0,historical
2014-04-17,69.20809813610899,-57.54513548320862,209.26769047831414,24.0,historical
2014-04-18,85.09996079132978,-39.748633169502,214.5103345279793,57.0,historical
2014-04-19,140.48353693097317,11.975124491083877,266.5815542003965,61.0,historical
2014-04-20,98.71235649222665,-30.479743130463923,224.60167047924065,30.0,historical
